playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Yang,paiN Gaming,top,5,5,7,16322,280.0,2.4
SeongHwan,paiN Gaming,jng,1,7,8,11053,213.0,1.29
tinowns,paiN Gaming,mid,2,2,11,12696,249.0,6.5
brTT,paiN Gaming,bot,6,5,8,17276,367.0,2.8
Key,paiN Gaming,sup,1,4,12,8407,37.0,3.25
WooFe,Flamengo Esports,top,3,4,11,13954,243.0,3.5
Ranger,Flamengo Esports,jng,2,1,18,13738,222.0,20.0
Goku,Flamengo Esports,mid,10,1,11,17514,294.0,21.0
Absolut,Flamengo Esports,bot,7,2,12,18856,387.0,9.5
Luci,Flamengo Esports,sup,1,7,16,9443,36.0,2.43
,paiN Gaming,team,15,23,46,65754,,2.65
,Flamengo Esports,team,23,15,68,73505,,6.07
fNb,Prodigy Esports,top,4,1,11,12511,231.0,15.0
Yampi,Prodigy Esports,jng,1,1,11,9606,156.0,12.0
Aloned,Prodigy Esports,mid,4,2,9,11127,198.0,6.5
Garo,Prodigy Esports,bot,6,0,6,14107,287.0,inf
Wos,Prodigy Esports,sup,3,4,9,8265,41.0,3.0
Robo,Vivo Keyd,top,1,4,4,9045,183.0,1.25
Grell,Vivo Keyd,jng,2,4,4,8326,134.0,1.5
NOsFerus,Vivo Keyd,mid,2,3,4,10576,229.0,2.0
Klaus,Vivo Keyd,bot,3,2,4,11351,255.0,3.5
Professor,Vivo Keyd,sup,0,5,5,6586,41.0,1.0
,Prodigy Esports,team,18,8,46,55616,,8.0
,Vivo Keyd,team,8,18,21,45884,,1.61
Tay,INTZ,top,8,7,3,16308,285.0,1.57
Shini,INTZ,jng,5,6,3,14282,245.0,1.33
Envy,INTZ,mid,2,5,8,14956,325.0,2.0
Mills,INTZ,bot,3,5,7,18634,411.0,2.0
RedBert,INTZ,sup,2,9,8,10038,44.0,1.11
Nyu,Redemption eSports Porto Alegre,top,2,3,19,13174,231.0,7.0
BalKhan,Redemption eSports Porto Alegre,jng,9,5,13,17031,281.0,4.4
Krastyel,Redemption eSports Porto Alegre,mid,10,4,14,18429,292.0,6.0
Save,Redemption eSports Porto Alegre,bot,10,5,15,19234,356.0,5.0
BocaJR,Redemption eSports Porto Alegre,sup,1,3,18,10224,55.0,6.33
,INTZ,team,20,32,29,74218,,1.53
,Redemption eSports Porto Alegre,team,32,20,79,78092,,5.55
Fitz,FURIA Esports,top,4,3,5,15408,320.0,3.0
Minerva,FURIA Esports,jng,0,2,15,10958,164.0,7.5
Anyyy,FURIA Esports,mid,4,0,10,13551,270.0,inf
Alternative,FURIA Esports,bot,6,1,6,16694,350.0,12.0
Damage,FURIA Esports,sup,1,3,8,8388,34.0,3.0
Parang,KaBuM! e-Sports,top,3,1,5,12795,265.0,8.0
Wiz,KaBuM! e-Sports,jng,4,0,2,10923,198.0,inf
Tutsz,KaBuM! e-Sports,mid,2,4,2,13029,322.0,1.0
Disave,KaBuM! e-Sports,bot,0,4,8,11429,259.0,2.0
Ceos,KaBuM! e-Sports,sup,0,6,5,6559,25.0,0.83
,FURIA Esports,team,15,9,44,64999,,6.56
,KaBuM! e-Sports,team,9,15,22,54735,,2.07
WooFe,Flamengo Esports,top,2,4,5,10791,193.0,1.75
Ranger,Flamengo Esports,jng,5,1,13,11273,162.0,18.0
Goku,Flamengo Esports,mid,5,4,8,11897,210.0,3.25
Absolut,Flamengo Esports,bot,9,1,10,15272,274.0,19.0
Luci,Flamengo Esports,sup,4,3,14,9040,42.0,6.0
Robo,Vivo Keyd,top,1,2,0,10055,237.0,0.5
Grell,Vivo Keyd,jng,2,5,7,9371,154.0,1.8
NOsFerus,Vivo Keyd,mid,5,6,3,11450,207.0,1.33
Klaus,Vivo Keyd,bot,3,2,3,11468,255.0,3.0
Professor,Vivo Keyd,sup,2,10,6,6880,34.0,0.8
,Flamengo Esports,team,25,13,50,58273,,5.77
,Vivo Keyd,team,13,25,19,49224,,1.28
fNb,Prodigy Esports,top,6,1,7,16674,311.0,13.0
Yampi,Prodigy Esports,jng,2,0,8,11849,206.0,inf
Aloned,Prodigy Esports,mid,11,1,8,17185,293.0,19.0
Garo,Prodigy Esports,bot,2,2,8,14746,320.0,5.0
Wos,Prodigy Esports,sup,1,2,13,8629,40.0,7.0
Fitz,FURIA Esports,top,1,5,2,12580,264.0,0.6
Minerva,FURIA Esports,jng,1,5,1,8931,148.0,0.4
Anyyy,FURIA Esports,mid,1,2,2,11631,270.0,1.5
Alternative,FURIA Esports,bot,2,5,2,13679,314.0,0.8
Damage,FURIA Esports,sup,1,5,2,7531,55.0,0.6
,Prodigy Esports,team,22,6,44,69083,,11.0
,FURIA Esports,team,6,22,9,54352,,0.68
Nyu,Redemption eSports Porto Alegre,top,0,1,7,8195,176.0,7.0
BalKhan,Redemption eSports Porto Alegre,jng,6,0,10,9840,118.0,inf
Krastyel,Redemption eSports Porto Alegre,mid,7,1,9,10942,211.0,16.0
Save,Redemption eSports Porto Alegre,bot,8,0,8,11489,168.0,inf
BocaJR,Redemption eSports Porto Alegre,sup,1,1,15,6948,26.0,16.0
Parang,KaBuM! e-Sports,top,2,3,1,8916,207.0,1.0
Wiz,KaBuM! e-Sports,jng,0,4,3,6854,134.0,0.75
Tutsz,KaBuM! e-Sports,mid,1,5,1,8259,204.0,0.4
DudsTheBoy,KaBuM! e-Sports,bot,0,5,0,7430,198.0,0.0
Ceos,KaBuM! e-Sports,sup,0,5,3,4646,28.0,0.6
,Redemption eSports Porto Alegre,team,22,3,49,47414,,23.67
,KaBuM! e-Sports,team,3,22,8,36105,,0.5
Tay,INTZ,top,0,2,2,11800,295.0,1.0
Shini,INTZ,jng,1,1,2,10164,190.0,3.0
Envy,INTZ,mid,0,4,0,11743,299.0,0.0
Mills,INTZ,bot,3,3,1,13315,287.0,1.33
RedBert,INTZ,sup,0,1,3,6882,31.0,3.0
Yang,paiN Gaming,top,3,2,3,13319,273.0,3.0
SeongHwan,paiN Gaming,jng,2,1,7,11480,191.0,9.0
tinowns,paiN Gaming,mid,2,0,7,13168,262.0,inf
brTT,paiN Gaming,bot,4,0,2,16730,391.0,inf
Key,paiN Gaming,sup,0,1,8,8207,33.0,8.0
,INTZ,team,4,11,8,53904,,1.09
,paiN Gaming,team,11,4,27,62904,,9.5
Nyu,Redemption eSports Porto Alegre,top,5,1,5,17163,334.0,10.0
BalKhan,Redemption eSports Porto Alegre,jng,1,5,6,12342,187.0,1.4
Krastyel,Redemption eSports Porto Alegre,mid,3,3,3,15347,341.0,2.0
Save,Redemption eSports Porto Alegre,bot,3,5,4,19125,436.0,1.4
BocaJR,Redemption eSports Porto Alegre,sup,0,2,5,8645,30.0,2.5
Fitz,FURIA Esports,top,2,5,9,16682,332.0,2.2
Sting,FURIA Esports,jng,4,4,6,15286,240.0,2.5
Anyyy,FURIA Esports,mid,6,1,6,17341,347.0,12.0
Alternative,FURIA Esports,bot,2,0,9,17365,346.0,inf
Damage,FURIA Esports,sup,2,2,5,9984,47.0,3.5
,Redemption eSports Porto Alegre,team,12,16,23,72622,,2.19
,FURIA Esports,team,16,12,35,76658,,4.25
Parang,KaBuM! e-Sports,top,4,6,1,9935,201.0,0.83
Wiz,KaBuM! e-Sports,jng,3,3,4,8868,142.0,2.33
Tutsz,KaBuM! e-Sports,mid,2,3,2,9228,205.0,1.33
DudsTheBoy,KaBuM! e-Sports,bot,0,4,7,9687,193.0,1.75
Ceos,KaBuM! e-Sports,sup,2,5,6,6772,23.0,1.6
Tay,INTZ,top,5,2,11,10774,182.0,8.0
Shini,INTZ,jng,7,1,7,10926,167.0,14.0
Envy,INTZ,mid,5,1,6,12723,226.0,11.0
micaO,INTZ,bot,4,3,7,10324,187.0,3.67
RedBert,INTZ,sup,0,4,10,7185,44.0,2.5
,KaBuM! e-Sports,team,11,21,20,44490,,1.48
,INTZ,team,21,11,41,51932,,5.64
Robo,Vivo Keyd,top,4,4,11,14903,241.0,3.75
Grell,Vivo Keyd,jng,2,6,13,11393,171.0,2.5
NOsFerus,Vivo Keyd,mid,7,2,4,16748,307.0,5.5
Klaus,Vivo Keyd,bot,3,2,6,16193,382.0,4.5
Professor,Vivo Keyd,sup,2,3,13,9063,36.0,5.0
Yang,paiN Gaming,top,3,5,9,13645,279.0,2.4
SeongHwan,paiN Gaming,jng,2,4,9,11995,189.0,2.75
tinowns,paiN Gaming,mid,3,2,7,13161,273.0,5.0
brTT,paiN Gaming,bot,8,3,6,17501,366.0,4.67
Key,paiN Gaming,sup,1,4,11,8713,43.0,3.0
,Vivo Keyd,team,18,17,47,68300,,3.82
,paiN Gaming,team,17,18,42,65015,,3.28
WooFe,Flamengo Esports,top,6,2,9,11685,172.0,7.5
Ranger,Flamengo Esports,jng,2,0,11,9154,138.0,inf
Goku,Flamengo Esports,mid,8,0,8,12294,222.0,inf
Absolut,Flamengo Esports,bot,2,0,9,10449,212.0,inf
Luci,Flamengo Esports,sup,0,1,10,6771,29.0,10.0
fNb,Prodigy Esports,top,0,2,3,8540,175.0,1.5
Yampi,Prodigy Esports,jng,0,4,3,6645,113.0,0.75
Aloned,Prodigy Esports,mid,3,3,0,9151,219.0,1.0
Garo,Prodigy Esports,bot,0,3,2,8835,204.0,0.67
Wos,Prodigy Esports,sup,0,6,3,5269,31.0,0.5
,Flamengo Esports,team,18,3,47,50353,,21.67
,Prodigy Esports,team,3,18,11,38440,,0.78
Robo,Vivo Keyd,top,5,3,7,14124,252.0,4.0
Grell,Vivo Keyd,jng,1,4,17,12010,172.0,4.5
NOsFerus,Vivo Keyd,mid,4,1,7,16234,311.0,11.0
Klaus,Vivo Keyd,bot,4,3,9,17126,399.0,4.33
Professor,Vivo Keyd,sup,4,4,10,10239,20.0,3.5
Tay,INTZ,top,5,3,8,18014,370.0,4.33
Shini,INTZ,jng,2,5,11,10965,163.0,2.6
Envy,INTZ,mid,3,4,5,13152,297.0,2.0
micaO,INTZ,bot,4,4,8,13097,240.0,3.0
RedBert,INTZ,sup,1,2,9,8500,43.0,5.0
,Vivo Keyd,team,18,15,50,69733,,4.53
,INTZ,team,15,18,41,63728,,3.11
Yang,paiN Gaming,top,4,1,11,14097,272.0,15.0
SeongHwan,paiN Gaming,jng,2,2,11,12047,192.0,6.5
tinowns,paiN Gaming,mid,5,3,8,14347,310.0,4.33
brTT,paiN Gaming,bot,8,2,9,16946,309.0,8.5
Key,paiN Gaming,sup,6,2,17,11041,40.0,11.5
Nyu,Redemption eSports Porto Alegre,top,3,1,6,16175,322.0,9.0
BalKhan,Redemption eSports Porto Alegre,jng,2,6,3,12024,235.0,0.83
Krastyel,Redemption eSports Porto Alegre,mid,2,4,4,13111,311.0,1.5
Save,Redemption eSports Porto Alegre,bot,2,8,4,12231,275.0,0.75
BocaJR,Redemption eSports Porto Alegre,sup,1,6,4,7406,38.0,0.83
,paiN Gaming,team,25,10,56,68478,,8.1
,Redemption eSports Porto Alegre,team,10,25,21,60947,,1.24
Fitz,FURIA Esports,top,5,0,11,18745,355.0,inf
Minerva,FURIA Esports,jng,2,3,17,13873,200.0,6.33
