date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-22 15:43:50,Robo,LOUD,top,3,6,5,14737,286.0,Split 1,1.33
2022-01-22 15:43:50,Tay,LOUD,jng,4,3,4,13744,211.0,Split 1,2.67
2022-01-22 15:43:50,tinowns,LOUD,mid,2,2,10,15930,320.0,Split 1,6.0
2022-01-22 15:43:50,DudsTheBoy,LOUD,bot,9,2,3,17903,347.0,Split 1,6.0
2022-01-22 15:43:50,Ceos,LOUD,sup,1,4,9,8896,39.0,Split 1,2.5
2022-01-22 15:43:50,fNb,FURIA,top,4,4,5,13666,253.0,Split 1,2.25
2022-01-22 15:43:50,Ranger,FURIA,jng,5,3,8,12657,191.0,Split 1,4.33
2022-01-22 15:43:50,Envy,FURIA,mid,4,4,8,14776,306.0,Split 1,3.0
2022-01-22 15:43:50,Netuno,FURIA,bot,3,4,7,15105,329.0,Split 1,2.5
2022-01-22 15:43:50,RedBert,FURIA,sup,1,4,9,8408,46.0,Split 1,2.5
2022-01-22 15:43:50,,LOUD,team,19,17,31,71210,,Split 1,2.94
2022-01-22 15:43:50,,FURIA,team,17,19,37,64612,,Split 1,2.84
2022-01-22 17:19:08,DoRun,Netshoes Miners,top,6,0,7,16682,335.0,Split 1,inf
2022-01-22 17:19:08,Croc,Netshoes Miners,jng,9,2,6,14921,205.0,Split 1,7.5
2022-01-22 17:19:08,Anyyy,Netshoes Miners,mid,3,1,14,15618,321.0,Split 1,17.0
2022-01-22 17:19:08,Drop,Netshoes Miners,bot,3,1,11,16400,366.0,Split 1,14.0
2022-01-22 17:19:08,Hawk,Netshoes Miners,sup,0,3,15,8923,42.0,Split 1,5.0
2022-01-22 17:19:08,Boal,Flamengo Esports,top,2,3,2,14294,342.0,Split 1,1.33
2022-01-22 17:19:08,asta,Flamengo Esports,jng,1,5,3,10584,203.0,Split 1,0.8
2022-01-22 17:19:08,Tutsz,Flamengo Esports,mid,1,4,3,13549,353.0,Split 1,1.0
2022-01-22 17:19:08,Flare,Flamengo Esports,bot,3,3,2,13919,331.0,Split 1,1.67
2022-01-22 17:19:08,Bounty,Flamengo Esports,sup,0,6,2,6817,42.0,Split 1,0.33
2022-01-22 17:19:08,,Netshoes Miners,team,21,7,53,72544,,Split 1,10.57
