date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
2018-01-20 15:01:18,Ayel,INTZ,top,0,6,6,11901,277.0,1.0
2018-01-20 15:01:18,Shini,INTZ,jng,3,4,2,11658,185.0,1.25
2018-01-20 15:01:18,Envy,INTZ,mid,0,2,4,12380,315.0,2.0
2018-01-20 15:01:18,Absolut,INTZ,bot,4,2,3,15286,307.0,3.5
2018-01-20 15:01:18,Zirigui,INTZ,sup,0,5,6,9372,90.0,1.2
2018-01-20 15:01:18,Yang,Vivo Keyd,top,2,2,8,13707,311.0,5.0
2018-01-20 15:01:18,Revolta,Vivo Keyd,jng,3,1,15,12629,168.0,18.0
2018-01-20 15:01:18,tockers,Vivo Keyd,mid,9,0,6,16890,372.0,inf
2018-01-20 15:01:18,micaO,Vivo Keyd,bot,5,1,10,15757,326.0,15.0
2018-01-20 15:01:18,Jockster,Vivo Keyd,sup,0,3,13,10391,49.0,4.33
2018-01-20 15:01:18,,INTZ,team,7,19,21,60597,,1.47
2018-01-20 15:01:18,,Vivo Keyd,team,19,7,52,69374,,10.14
2018-01-20 16:18:05,Yang,Vivo Keyd,top,3,0,5,12535,269.0,inf
2018-01-20 16:18:05,Revolta,Vivo Keyd,jng,0,1,10,10456,160.0,10.0
2018-01-20 16:18:05,tockers,Vivo Keyd,mid,8,1,4,14867,311.0,12.0
2018-01-20 16:18:05,micaO,Vivo Keyd,bot,4,0,3,13175,281.0,inf
2018-01-20 16:18:05,Jockster,Vivo Keyd,sup,0,0,12,10434,123.0,inf
2018-01-20 16:18:05,Ayel,INTZ,top,0,2,1,9485,261.0,0.5
2018-01-20 16:18:05,Shini,INTZ,jng,1,4,0,7954,139.0,0.25
2018-01-20 16:18:05,Envy,INTZ,mid,0,4,1,8783,223.0,0.25
2018-01-20 16:18:05,Absolut,INTZ,bot,1,2,0,10217,269.0,0.5
2018-01-20 16:18:05,Zirigui,INTZ,sup,0,3,0,6687,63.0,0.0
2018-01-20 16:18:05,,Vivo Keyd,team,15,2,34,61467,,24.5
2018-01-20 16:18:05,,INTZ,team,2,15,2,43126,,0.27
2018-01-20 17:13:07,Robo,CNB e-Sports Club,top,2,2,4,10712,221.0,3.0
2018-01-20 17:13:07,Turtle,CNB e-Sports Club,jng,0,2,6,9058,152.0,3.0
2018-01-20 17:13:07,Rakin,CNB e-Sports Club,mid,1,2,3,11307,286.0,2.0
2018-01-20 17:13:07,pbO,CNB e-Sports Club,bot,6,2,1,12567,270.0,3.5
2018-01-20 17:13:07,Baiano,CNB e-Sports Club,sup,0,4,6,8244,95.0,1.5
2018-01-20 17:13:07,Zantins,KaBuM! e-Sports,top,1,1,8,14018,277.0,9.0
2018-01-20 17:13:07,Ranger,KaBuM! e-Sports,jng,0,2,5,11213,171.0,2.5
2018-01-20 17:13:07,dyNquedo,KaBuM! e-Sports,mid,5,0,3,13945,296.0,inf
2018-01-20 17:13:07,TitaN,KaBuM! e-Sports,bot,6,2,2,15135,280.0,4.0
2018-01-20 17:13:07,Riyev,KaBuM! e-Sports,sup,0,4,6,9243,85.0,1.5
2018-01-20 17:13:07,,CNB e-Sports Club,team,9,12,20,51888,,2.42
2018-01-20 17:13:07,,KaBuM! e-Sports,team,12,9,24,63554,,4.0
2018-01-20 18:24:45,Zantins,KaBuM! e-Sports,top,3,3,5,13318,305.0,2.67
2018-01-20 18:24:45,Ranger,KaBuM! e-Sports,jng,2,2,7,11148,167.0,4.5
2018-01-20 18:24:45,dyNquedo,KaBuM! e-Sports,mid,4,0,7,14481,328.0,inf
2018-01-20 18:24:45,TitaN,KaBuM! e-Sports,bot,2,0,6,14720,339.0,inf
2018-01-20 18:24:45,Riyev,KaBuM! e-Sports,sup,0,0,9,9683,73.0,inf
2018-01-20 18:24:45,Robo,CNB e-Sports Club,top,1,1,4,10883,271.0,5.0
2018-01-20 18:24:45,Turtle,CNB e-Sports Club,jng,1,4,3,8718,136.0,1.0
2018-01-20 18:24:45,Rakin,CNB e-Sports Club,mid,1,3,3,10308,267.0,1.33
2018-01-20 18:24:45,pbO,CNB e-Sports Club,bot,2,2,0,11546,297.0,1.0
2018-01-20 18:24:45,Baiano,CNB e-Sports Club,sup,0,1,3,6925,55.0,3.0
2018-01-20 18:24:45,,KaBuM! e-Sports,team,11,5,34,63350,,9.0
2018-01-20 18:24:45,,CNB e-Sports Club,team,5,11,13,48380,,1.64
2018-01-21 15:00:33,takeshi,paiN Gaming,top,0,2,10,15833,303.0,5.0
2018-01-21 15:00:33,Tay,paiN Gaming,jng,3,0,11,16124,219.0,inf
2018-01-21 15:00:33,tinowns,paiN Gaming,mid,2,1,11,18517,392.0,13.0
2018-01-21 15:00:33,Matsukaze,paiN Gaming,bot,11,1,4,23644,476.0,15.0
2018-01-21 15:00:33,Loop,paiN Gaming,sup,0,2,10,13663,103.0,5.0
2018-01-21 15:00:33,Edger,Team oNe eSports,top,1,2,3,17505,447.0,2.0
2018-01-21 15:00:33,4LaN,Team oNe eSports,jng,2,3,3,15784,290.0,1.67
2018-01-21 15:00:33,Brucer,Team oNe eSports,mid,1,4,4,17012,383.0,1.25
2018-01-21 15:00:33,Lactea,Team oNe eSports,bot,2,3,4,18413,416.0,2.0
2018-01-21 15:00:33,RedBert,Team oNe eSports,sup,0,4,5,11334,93.0,1.25
2018-01-21 15:00:33,,paiN Gaming,team,16,6,46,87781,,10.33
2018-01-21 15:00:33,,Team oNe eSports,team,6,16,19,80048,,1.56
2018-01-21 16:34:21,Edger,Team oNe eSports,top,2,1,1,11630,255.0,3.0
2018-01-21 16:34:21,4LaN,Team oNe eSports,jng,2,3,4,11738,229.0,2.0
2018-01-21 16:34:21,Brucer,Team oNe eSports,mid,2,1,3,13597,358.0,5.0
2018-01-21 16:34:21,Lactea,Team oNe eSports,bot,1,4,6,13281,304.0,1.75
2018-01-21 16:34:21,RedBert,Team oNe eSports,sup,0,2,7,9513,110.0,3.5
2018-01-21 16:34:21,takeshi,paiN Gaming,top,1,2,5,12887,265.0,3.0
2018-01-21 16:34:21,Tay,paiN Gaming,jng,2,1,7,11867,151.0,9.0
2018-01-21 16:34:21,tinowns,paiN Gaming,mid,4,1,3,14131,300.0,7.0
2018-01-21 16:34:21,Matsukaze,paiN Gaming,bot,3,0,6,15185,293.0,inf
2018-01-21 16:34:21,Loop,paiN Gaming,sup,1,3,7,10021,77.0,2.67
2018-01-21 16:34:21,,Team oNe eSports,team,7,11,21,59759,,2.55
2018-01-21 16:34:21,,paiN Gaming,team,11,7,28,64091,,5.57
2018-01-21 17:33:57,Lep,RED Canids,top,1,0,6,13671,302.0,inf
2018-01-21 17:33:57,Winged,RED Canids,jng,0,0,9,10846,180.0,inf
2018-01-21 17:33:57,Sky,RED Canids,mid,5,0,2,15597,376.0,inf
2018-01-21 17:33:57,Sacy,RED Canids,bot,1,0,6,14420,331.0,inf
2018-01-21 17:33:57,Cabu,RED Canids,sup,2,0,6,9416,53.0,inf
2018-01-21 17:33:57,SkyBart,ProGaming Esports,top,0,2,0,11477,273.0,0.0
2018-01-21 17:33:57,Minerva,ProGaming Esports,jng,0,3,0,8633,158.0,0.0
2018-01-21 17:33:57,Goku,ProGaming Esports,mid,0,2,0,10323,291.0,0.0
2018-01-21 17:33:57,Luskka,ProGaming Esports,bot,0,0,0,11720,328.0,
2018-01-21 17:33:57,Professor,ProGaming Esports,sup,0,2,0,7360,89.0,0.0
2018-01-21 17:33:57,,RED Canids,team,9,0,29,63950,,inf
2018-01-21 17:33:57,,ProGaming Esports,team,0,9,0,49513,,0.0
2018-01-21 18:26:37,SkyBart,ProGaming Esports,top,4,2,9,14001,247.0,6.5
2018-01-21 18:26:37,Minerva,ProGaming Esports,jng,3,0,10,14272,191.0,inf
2018-01-21 18:26:37,Goku,ProGaming Esports,mid,6,1,5,15774,319.0,11.0
2018-01-21 18:26:37,Luskka,ProGaming Esports,bot,1,0,8,15532,352.0,inf
2018-01-21 18:26:37,Professor,ProGaming Esports,sup,1,0,8,10849,85.0,inf
2018-01-21 18:26:37,Lep,RED Canids,top,0,2,2,13052,304.0,1.0
2018-01-21 18:26:37,Winged,RED Canids,jng,1,4,2,9985,166.0,0.75
2018-01-21 18:26:37,Sky,RED Canids,mid,1,2,1,12236,325.0,1.0
2018-01-21 18:26:37,Sacy,RED Canids,bot,1,3,1,12741,334.0,0.67
2018-01-21 18:26:37,Cabu,RED Canids,sup,0,4,2,8776,96.0,0.5
2018-01-21 18:26:37,,ProGaming Esports,team,15,3,40,70428,,18.33
2018-01-21 18:26:37,,RED Canids,team,3,15,8,56790,,0.73
2018-01-21 19:24:12,Lep,RED Canids,top,5,2,6,17514,354.0,5.5
2018-01-21 19:24:12,Winged,RED Canids,jng,0,4,8,14532,239.0,2.0
2018-01-21 19:24:12,Sky,RED Canids,mid,3,5,6,16021,338.0,1.8
2018-01-21 19:24:12,Sacy,RED Canids,bot,7,1,5,19196,401.0,12.0
2018-01-21 19:24:12,Cabu,RED Canids,sup,0,3,10,12613,100.0,3.33
2018-01-21 19:24:12,SkyBart,ProGaming Esports,top,1,4,9,13485,219.0,2.5
2018-01-21 19:24:12,Minerva,ProGaming Esports,jng,4,3,8,14179,188.0,4.0
2018-01-21 19:24:12,Goku,ProGaming Esports,mid,3,5,9,15616,322.0,2.4
2018-01-21 19:24:12,Luskka,ProGaming Esports,bot,5,1,6,20346,455.0,11.0
2018-01-21 19:24:12,Professor,ProGaming Esports,sup,2,2,6,12461,80.0,4.0
2018-01-21 19:24:12,,RED Canids,team,15,15,35,79876,,3.33
2018-01-21 19:24:12,,ProGaming Esports,team,15,15,38,76087,,3.53
2018-01-27 15:10:50,Lep,RED Canids,top,3,2,12,15256,285.0,7.5
2018-01-27 15:10:50,Winged,RED Canids,jng,3,2,11,13830,192.0,7.0
2018-01-27 15:10:50,Sky,RED Canids,mid,5,3,14,17055,361.0,6.33
2018-01-27 15:10:50,Sacy,RED Canids,bot,10,2,9,19216,381.0,9.5
2018-01-27 15:10:50,Cabu,RED Canids,sup,3,3,16,12879,90.0,6.33
2018-01-27 15:10:50,Robo,CNB e-Sports Club,top,6,5,4,13863,277.0,2.0
2018-01-27 15:10:50,Turtle,CNB e-Sports Club,jng,1,6,1,11150,179.0,0.33
2018-01-27 15:10:50,Rakin,CNB e-Sports Club,mid,1,4,1,14415,334.0,0.5
2018-01-27 15:10:50,pbO,CNB e-Sports Club,bot,3,4,7,14635,311.0,2.5
2018-01-27 15:10:50,Baiano,CNB e-Sports Club,sup,1,5,8,10209,76.0,1.8
2018-01-27 15:10:50,,RED Canids,team,24,12,62,78236,,7.17
2018-01-27 15:10:50,,CNB e-Sports Club,team,12,24,21,64272,,1.38
2018-01-27 16:13:43,Robo,CNB e-Sports Club,top,3,4,1,9354,223.0,1.0
2018-01-27 16:13:43,Turtle,CNB e-Sports Club,jng,1,3,3,8450,147.0,1.33
2018-01-27 16:13:43,Rakin,CNB e-Sports Club,mid,0,3,3,9383,249.0,1.0
2018-01-27 16:13:43,pbO,CNB e-Sports Club,bot,1,2,4,9674,220.0,2.5
2018-01-27 16:13:43,Baiano,CNB e-Sports Club,sup,0,2,5,7275,80.0,2.5
2018-01-27 16:13:43,Lep,RED Canids,top,3,0,7,13488,266.0,inf
2018-01-27 16:13:43,Winged,RED Canids,jng,2,3,10,10205,140.0,4.0
2018-01-27 16:13:43,Sky,RED Canids,mid,2,0,5,13508,328.0,inf
2018-01-27 16:13:43,Sacy,RED Canids,bot,5,1,5,14489,264.0,10.0
2018-01-27 16:13:43,Cabu,RED Canids,sup,2,1,6,9353,73.0,8.0
2018-01-27 16:13:43,,CNB e-Sports Club,team,5,14,16,44136,,1.5
2018-01-27 16:13:43,,RED Canids,team,14,5,33,61043,,9.4
2018-01-27 17:04:31,Edger,Team oNe eSports,top,0,4,1,10186,247.0,0.25
2018-01-27 17:04:31,4LaN,Team oNe eSports,jng,0,3,1,8186,146.0,0.33
2018-01-27 17:04:31,Marfz,Team oNe eSports,mid,1,1,2,10212,278.0,3.0
2018-01-27 17:04:31,Lactea,Team oNe eSports,bot,2,1,0,11242,286.0,2.0
2018-01-27 17:04:31,RedBert,Team oNe eSports,sup,0,2,3,7574,102.0,1.5
2018-01-27 17:04:31,Ayel,INTZ,top,3,1,2,12084,263.0,5.0
2018-01-27 17:04:31,Shini,INTZ,jng,2,0,7,10571,177.0,inf
2018-01-27 17:04:31,Envy,INTZ,mid,4,0,5,12603,288.0,inf
2018-01-27 17:04:31,Absolut,INTZ,bot,2,0,5,12807,268.0,inf
2018-01-27 17:04:31,Zirigui,INTZ,sup,0,2,7,8060,73.0,3.5
2018-01-27 17:04:31,,Team oNe eSports,team,3,11,7,47400,,0.91
2018-01-27 17:04:31,,INTZ,team,11,3,26,56125,,12.33
2018-01-27 18:04:13,Ayel,INTZ,top,2,3,13,20242,433.0,5.0
2018-01-27 18:04:13,Shini,INTZ,jng,2,3,16,17447,239.0,6.0
2018-01-27 18:04:13,Envy,INTZ,mid,12,3,9,26238,542.0,7.0
2018-01-27 18:04:13,Absolut,INTZ,bot,11,5,10,24644,477.0,4.2
2018-01-27 18:04:13,Zirigui,INTZ,sup,2,3,24,15869,74.0,8.67
2018-01-27 18:04:13,Edger,Team oNe eSports,top,5,4,8,24162,442.0,3.25
2018-01-27 18:04:13,4LaN,Team oNe eSports,jng,0,11,14,16864,195.0,1.27
2018-01-27 18:04:13,Brucer,Team oNe eSports,mid,4,5,11,21851,391.0,3.0
2018-01-27 18:04:13,Lactea,Team oNe eSports,bot,7,5,4,27226,592.0,2.2
2018-01-27 18:04:13,RedBert,Team oNe eSports,sup,1,4,10,16317,121.0,2.75
2018-01-27 18:04:13,,INTZ,team,29,17,72,104440,,5.94
2018-01-27 18:04:13,,Team oNe eSports,team,17,29,47,106420,,2.21
2018-01-27 19:23:45,Edger,Team oNe eSports,top,2,1,9,13178,253.0,11.0
2018-01-27 19:23:45,4LaN,Team oNe eSports,jng,2,1,5,12398,185.0,7.0
2018-01-27 19:23:45,Brucer,Team oNe eSports,mid,1,1,5,12779,256.0,6.0
2018-01-27 19:23:45,Lactea,Team oNe eSports,bot,6,1,5,18323,392.0,11.0
2018-01-27 19:23:45,RedBert,Team oNe eSports,sup,2,1,8,12041,113.0,10.0
2018-01-27 19:23:45,Ayel,INTZ,top,1,4,1,10649,231.0,0.5
2018-01-27 19:23:45,Shini,INTZ,jng,0,2,2,11308,202.0,1.0
2018-01-27 19:23:45,Envy,INTZ,mid,2,2,2,13192,353.0,2.0
2018-01-27 19:23:45,Absolut,INTZ,bot,2,1,2,14240,333.0,4.0
2018-01-27 19:23:45,Zirigui,INTZ,sup,0,4,3,8260,82.0,0.75
2018-01-27 19:23:45,,Team oNe eSports,team,13,5,32,68719,,9.0
2018-01-27 19:23:45,,INTZ,team,5,13,10,57649,,1.15
2018-01-28 14:59:34,Yang,Vivo Keyd,top,0,2,0,9959,255.0,0.0
2018-01-28 14:59:34,Revolta,Vivo Keyd,jng,0,2,0,9594,184.0,0.0
2018-01-28 14:59:34,tockers,Vivo Keyd,mid,0,2,0,12111,338.0,0.0
2018-01-28 14:59:34,micaO,Vivo Keyd,bot,1,2,0,12256,299.0,0.5
2018-01-28 14:59:34,Jockster,Vivo Keyd,sup,0,1,1,8569,109.0,1.0
2018-01-28 14:59:34,SkyBart,ProGaming Esports,top,1,0,4,10984,211.0,inf
2018-01-28 14:59:34,Minerva,ProGaming Esports,jng,0,1,7,10482,152.0,7.0
2018-01-28 14:59:34,Goku,ProGaming Esports,mid,3,0,5,12400,235.0,inf
2018-01-28 14:59:34,Luskka,ProGaming Esports,bot,4,0,3,15858,339.0,inf
2018-01-28 14:59:34,Professor,ProGaming Esports,sup,1,0,6,10284,96.0,inf
2018-01-28 14:59:34,,Vivo Keyd,team,1,9,1,52489,,0.22
2018-01-28 14:59:34,,ProGaming Esports,team,9,1,25,60008,,34.0
