date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-01-20 15:01:18,INTZ,Split 1,0,11901,7,19,,,
2018-01-20 15:01:18,INTZ,Split 1,0,11658,7,19,,,
2018-01-20 15:01:18,INTZ,Split 1,0,12380,7,19,,,
2018-01-20 15:01:18,INTZ,Split 1,0,15286,7,19,,,
2018-01-20 15:01:18,INTZ,Split 1,0,9372,7,19,,,
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,13707,19,7,,,
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,12629,19,7,,,
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,16890,19,7,,,
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,15757,19,7,,,
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,10391,19,7,,,
2018-01-20 15:01:18,INTZ,Split 1,0,60597,7,19,5.0,0.0,0.0
2018-01-20 15:01:18,Vivo Keyd,Split 1,1,69374,19,7,7.0,3.0,1.0
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,12535,15,2,,,
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,10456,15,2,,,
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,14867,15,2,,,
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,13175,15,2,,,
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,10434,15,2,,,
2018-01-20 16:18:05,INTZ,Split 1,0,9485,2,15,,,
2018-01-20 16:18:05,INTZ,Split 1,0,7954,2,15,,,
2018-01-20 16:18:05,INTZ,Split 1,0,8783,2,15,,,
2018-01-20 16:18:05,INTZ,Split 1,0,10217,2,15,,,
2018-01-20 16:18:05,INTZ,Split 1,0,6687,2,15,,,
2018-01-20 16:18:05,Vivo Keyd,Split 1,1,61467,15,2,11.0,3.0,1.0
2018-01-20 16:18:05,INTZ,Split 1,0,43126,2,15,0.0,0.0,0.0
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,10712,9,12,,,
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,9058,9,12,,,
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,11307,9,12,,,
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,12567,9,12,,,
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,8244,9,12,,,
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,14018,12,9,,,
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,11213,12,9,,,
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,13945,12,9,,,
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,15135,12,9,,,
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,9243,12,9,,,
2018-01-20 17:13:07,CNB e-Sports Club,Split 1,0,51888,9,12,3.0,2.0,0.0
2018-01-20 17:13:07,KaBuM! e-Sports,Split 1,1,63554,12,9,8.0,2.0,1.0
2018-01-20 18:24:45,KaBuM! e-Sports,Split 1,1,13318,11,5,,,
2018-01-20 18:24:45,KaBuM! e-Sports,Split 1,1,11148,11,5,,,
2018-01-20 18:24:45,KaBuM! e-Sports,Split 1,1,14481,11,5,,,
2018-01-20 18:24:45,KaBuM! e-Sports,Split 1,1,14720,11,5,,,
2018-01-20 18:24:45,KaBuM! e-Sports,Split 1,1,9683,11,5,,,
2018-01-20 18:24:45,CNB e-Sports Club,Split 1,0,10883,5,11,,,
2018-01-20 18:24:45,CNB e-Sports Club,Split 1,0,8718,5,11,,,
2018-01-20 18:24:45,CNB e-Sports Club,Split 1,0,10308,5,11,,,
2018-01-20 18:24:45,CNB e-Sports Club,Split 1,0,11546,5,11,,,
