date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-01-22 15:43:50,LOUD,1,Blue,19,17,3.0,1.0,9.0,71210,1,Split 1
2022-01-22 15:43:50,FURIA,1,Red,17,19,2.0,1.0,3.0,64612,0,Split 1
2022-01-22 17:19:08,Netshoes Miners,1,Blue,21,7,3.0,2.0,10.0,72544,1,Split 1
2022-01-22 17:19:08,Flamengo Esports,1,Red,7,21,1.0,0.0,2.0,59163,0,Split 1
2022-01-22 18:29:37,KaBuM! e-Sports,1,Blue,15,8,3.0,1.0,8.0,51114,1,Split 1
2022-01-22 18:29:37,INTZ,1,Red,7,15,1.0,0.0,1.0,40224,0,Split 1
2022-01-22 19:24:06,Rensga eSports,1,Blue,14,17,2.0,1.0,6.0,71641,0,Split 1
2022-01-22 19:24:06,RED Canids,1,Red,17,14,4.0,1.0,8.0,71408,1,Split 1
2022-01-23 15:45:36,Liberty,1,Blue,16,3,3.0,1.0,11.0,54937,1,Split 1
2022-01-23 15:45:36,Rensga eSports,1,Red,3,16,1.0,0.0,1.0,43579,0,Split 1
2022-01-23 16:53:17,RED Canids,1,Blue,20,13,2.0,1.0,7.0,71939,1,Split 1
2022-01-23 16:53:17,LOUD,1,Red,13,20,3.0,0.0,6.0,65014,0,Split 1
2022-01-23 18:05:53,INTZ,1,Blue,15,21,2.0,2.0,11.0,81381,0,Split 1
2022-01-23 18:05:53,Netshoes Miners,1,Red,21,15,4.0,1.0,9.0,82072,1,Split 1
2022-01-23 19:29:23,Flamengo Esports,1,Blue,11,20,2.0,1.0,3.0,57061,0,Split 1
2022-01-23 19:29:23,FURIA,1,Red,20,11,3.0,1.0,8.0,63007,1,Split 1
2022-01-27 19:45:23,paiN Gaming,1,Blue,20,5,3.0,1.0,11.0,53661,1,Split 1
2022-01-27 19:45:23,Liberty,1,Red,5,20,0.0,0.0,2.0,39020,0,Split 1
2022-01-27 20:50:17,paiN Gaming,1,Blue,8,22,0.0,0.0,3.0,50724,0,Split 1
2022-01-27 20:50:17,KaBuM! e-Sports,1,Red,22,8,5.0,1.0,7.0,60342,1,Split 1
2022-01-29 15:45:26,RED Canids,1,Blue,13,19,2.0,0.0,3.0,62522,0,Split 1
2022-01-29 15:45:26,Liberty,1,Red,19,13,3.0,2.0,9.0,69306,1,Split 1
2022-01-29 17:04:29,Netshoes Miners,1,Blue,15,8,1.0,2.0,9.0,61338,1,Split 1
2022-01-29 17:04:29,paiN Gaming,1,Red,8,15,3.0,0.0,5.0,56679,0,Split 1
2022-01-29 18:14:54,KaBuM! e-Sports,1,Blue,22,6,2.0,1.0,11.0,60421,1,Split 1
2022-01-29 18:14:54,Rensga eSports,1,Red,6,22,2.0,0.0,1.0,46885,0,Split 1
2022-01-29 19:10:09,FURIA,1,Blue,14,2,2.0,1.0,10.0,52142,1,Split 1
2022-01-29 19:10:09,INTZ,1,Red,2,14,0.0,0.0,1.0,39859,0,Split 1
2022-01-29 20:01:22,LOUD,1,Blue,13,14,4.0,1.0,10.0,58224,1,Split 1
2022-01-29 20:01:22,Flamengo Esports,1,Red,14,13,0.0,0.0,3.0,55068,0,Split 1
2022-01-30 15:45:05,RED Canids,1,Blue,21,11,2.0,1.0,11.0,56599,1,Split 1
2022-01-30 15:45:05,KaBuM! e-Sports,1,Red,11,21,2.0,0.0,3.0,45937,0,Split 1
2022-01-30 16:52:58,Liberty,1,Blue,26,10,3.0,1.0,11.0,70134,1,Split 1
2022-01-30 16:52:58,LOUD,1,Red,10,26,2.0,0.0,3.0,56635,0,Split 1
2022-01-30 17:58:17,Rensga eSports,1,Blue,18,9,3.0,0.0,7.0,63076,1,Split 1
2022-01-30 17:58:17,Netshoes Miners,1,Red,9,18,2.0,1.0,6.0,62041,0,Split 1
2022-01-30 19:01:49,paiN Gaming,1,Blue,9,15,1.0,0.0,3.0,51947,0,Split 1
2022-01-30 19:01:49,FURIA,1,Red,15,9,4.0,1.0,9.0,59046,1,Split 1
2022-01-30 20:01:23,INTZ,1,Blue,13,2,2.0,2.0,9.0,60305,1,Split 1
2022-01-30 20:01:23,Flamengo Esports,1,Red,2,13,2.0,0.0,3.0,51128,0,Split 1
2022-02-05 15:45:07,Netshoes Miners,1,Blue,8,18,1.0,0.0,3.0,46981,0,Split 1
2022-02-05 15:45:07,RED Canids,1,Red,18,8,3.0,1.0,10.0,59252,1,Split 1
2022-02-05 16:59:05,LOUD,1,Blue,10,2,3.0,1.0,11.0,51472,1,Split 1
2022-02-05 16:59:05,INTZ,1,Red,2,10,0.0,0.0,2.0,38742,0,Split 1
2022-02-05 17:57:56,KaBuM! e-Sports,1,Blue,25,9,1.0,1.0,9.0,57461,1,Split 1
2022-02-05 17:57:56,Liberty,1,Red,9,25,2.0,0.0,1.0,44950,0,Split 1
2022-02-05 18:57:24,Flamengo Esports,1,Blue,6,14,1.0,0.0,2.0,54723,0,Split 1
2022-02-05 18:57:24,paiN Gaming,1,Red,14,6,5.0,1.0,9.0,67394,1,Split 1
2022-02-06 15:44:23,KaBuM! e-Sports,1,Blue,24,9,1.0,0.0,9.0,53206,1,Split 1
2022-02-06 15:44:23,LOUD,1,Red,9,24,2.0,1.0,3.0,43793,0,Split 1
2022-02-06 16:51:15,RED Canids,1,Blue,4,11,0.0,0.0,3.0,43963,0,Split 1
2022-02-06 16:51:15,FURIA,1,Red,11,4,4.0,1.0,10.0,52104,1,Split 1
2022-02-06 17:48:47,paiN Gaming,1,Blue,4,16,0.0,0.0,4.0,50647,0,Split 1
2022-02-06 17:48:47,INTZ,1,Red,16,4,4.0,1.0,10.0,59761,1,Split 1
2022-02-06 18:51:38,Liberty,1,Blue,17,3,3.0,1.0,10.0,58429,1,Split 1
2022-02-06 18:51:38,Netshoes Miners,1,Red,3,17,1.0,0.0,0.0,44663,0,Split 1
2022-02-10 19:44:57,FURIA,1,Blue,24,14,4.0,2.0,11.0,61953,1,Split 1
2022-02-10 19:44:57,Rensga eSports,1,Red,14,24,0.0,0.0,2.0,50315,0,Split 1
2022-02-10 20:48:49,Rensga eSports,1,Blue,10,20,4.0,0.0,4.0,61571,0,Split 1
2022-02-10 20:48:49,Flamengo Esports,1,Red,20,10,2.0,2.0,7.0,69818,1,Split 1
2022-02-12 15:44:44,INTZ,1,Blue,7,17,0.0,0.0,2.0,42211,0,Split 1
2022-02-12 15:44:44,Rensga eSports,1,Red,17,7,3.0,1.0,9.0,54390,1,Split 1
2022-02-12 16:52:31,Flamengo Esports,1,Blue,19,10,4.0,1.0,11.0,70121,1,Split 1
2022-02-12 16:52:31,RED Canids,1,Red,10,19,2.0,0.0,7.0,65483,0,Split 1
2022-02-12 17:56:01,FURIA,1,Blue,14,12,3.0,1.0,10.0,62726,1,Split 1
2022-02-12 17:56:01,Liberty,1,Red,12,14,2.0,0.0,6.0,59152,0,Split 1
2022-02-12 18:58:26,LOUD,1,Blue,16,6,3.0,1.0,11.0,63552,1,Split 1
2022-02-12 18:58:26,paiN Gaming,1,Red,6,16,2.0,1.0,3.0,53651,0,Split 1
2022-02-12 20:04:54,Netshoes Miners,1,Blue,10,19,2.0,0.0,4.0,48093,0,Split 1
2022-02-12 20:04:54,KaBuM! e-Sports,1,Red,19,10,3.0,1.0,9.0,57947,1,Split 1
2022-02-13 15:46:01,Liberty,1,Blue,21,13,4.0,1.0,11.0,67523,1,Split 1
2022-02-13 15:46:01,Flamengo Esports,1,Red,13,21,1.0,1.0,3.0,61197,0,Split 1
2022-02-13 16:57:03,KaBuM! e-Sports,1,Blue,7,15,0.0,0.0,7.0,54384,0,Split 1
2022-02-13 16:57:03,FURIA,1,Red,15,7,4.0,2.0,11.0,60856,1,Split 1
2022-02-13 17:59:48,Netshoes Miners,1,Blue,15,18,1.0,2.0,6.0,72472,0,Split 1
2022-02-13 17:59:48,LOUD,1,Red,18,15,5.0,1.0,10.0,73191,1,Split 1
2022-02-13 19:35:55,RED Canids,1,Blue,30,8,2.0,0.0,10.0,49654,1,Split 1
2022-02-13 19:35:55,INTZ,1,Red,8,30,0.0,0.0,3.0,38220,0,Split 1
2022-02-13 20:42:35,Rensga eSports,1,Blue,5,14,0.0,0.0,2.0,47423,0,Split 1
2022-02-13 20:42:35,paiN Gaming,1,Red,14,5,5.0,1.0,11.0,60603,1,Split 1
2022-02-19 15:44:54,FURIA,1,Blue,16,22,3.0,2.0,9.0,75245,0,Split 1
2022-02-19 15:44:54,Netshoes Miners,1,Red,22,17,3.0,1.0,8.0,75412,1,Split 1
2022-02-19 17:05:43,paiN Gaming,1,Blue,8,21,2.0,0.0,2.0,50216,0,Split 1
2022-02-19 17:05:43,RED Canids,1,Red,21,8,3.0,1.0,10.0,63450,1,Split 1
2022-02-19 18:06:50,Flamengo Esports,1,Blue,4,16,1.0,0.0,3.0,47210,0,Split 1
2022-02-19 18:06:50,KaBuM! e-Sports,1,Red,16,4,3.0,2.0,10.0,57196,1,Split 1
2022-02-19 19:04:08,LOUD,1,Blue,20,8,2.0,1.0,11.0,60766,1,Split 1
2022-02-19 19:04:08,Rensga eSports,1,Red,8,20,3.0,0.0,4.0,51985,0,Split 1
2022-02-19 20:00:51,INTZ,1,Blue,6,17,1.0,0.0,2.0,50034,0,Split 1
2022-02-19 20:00:51,Liberty,1,Red,17,6,3.0,1.0,11.0,59160,1,Split 1
2022-02-20 15:45:23,RED Canids,1,Blue,15,7,2.0,1.0,7.0,47385,1,Split 1
2022-02-20 15:45:23,Rensga eSports,1,Red,7,15,1.0,0.0,4.0,41211,0,Split 1
2022-02-20 16:48:38,INTZ,1,Blue,30,15,4.0,0.0,8.0,59664,1,Split 1
2022-02-20 16:48:38,KaBuM! e-Sports,1,Red,15,30,1.0,0.0,4.0,53201,0,Split 1
2022-02-20 17:49:12,Liberty,1,Blue,16,13,3.0,2.0,11.0,66782,1,Split 1
2022-02-20 17:49:12,paiN Gaming,1,Red,13,16,2.0,0.0,5.0,63536,0,Split 1
2022-02-20 18:54:59,Flamengo Esports,1,Blue,6,13,1.0,0.0,3.0,50421,0,Split 1
2022-02-20 18:54:59,Netshoes Miners,1,Red,13,6,3.0,2.0,9.0,58230,1,Split 1
2022-02-20 19:51:32,FURIA,1,Blue,2,16,0.0,0.0,3.0,45988,0,Split 1
2022-02-20 19:51:32,LOUD,1,Red,16,2,4.0,1.0,11.0,59989,1,Split 1
2022-02-26 16:19:00,FURIA,1,Blue,19,7,2.0,1.0,10.0,61517,1,Split 1
2022-02-26 16:19:00,Flamengo Esports,1,Red,7,19,2.0,0.0,1.0,49273,0,Split 1
2022-02-26 17:22:00,LOUD,1,Blue,13,25,1.0,1.0,6.0,67312,0,Split 1
